triplet_id,sub_label,rel_label,obj_label
257,ddx6,GG,psat1
258,ovarian epithelial cancer,ML,hyal1
259,bethanidine,Pr,tachycardia
260,fanci,Ra,brca2
261,ret,Ra,jun
262,egf,B,pgf
263,cct5,GG,sumo4
264,mkl1,Rg,mmp2
265,brip1,B,foxm1
266,pim2,GG,bmpr1a
267,doxylamine,CC,carbamazepine
268,eszopiclone,I,gabra3
269,ngfr,GG,mapk1
270,uterine diseases,ML,lgr5
271,amikacin,CC,tolmetin
272,dexamethasone,E,ppox
273,neoplasms,ML,opcml
274,bdnf,E,tgfb1
275,kcnh2,Ra,abcb1
276,neoplasm metastasis,ML,s100b
277,cd8a,P,overweight
278,mapk1,GG,map4k2
279,ccl2,Rg,cd163
280,ncf2,Rg,rac1
281,hrh3,GG,chrm4
282,ncl,U,lymphoma non hodgkin
283,ptgs2,Q,cyp19a1
284,neoplasms,ML,akt2
285,il4,E,axl
286,aoc3,P,cerebrovascular disorders
287,cav1,B,cacna1d
288,pde6b,GG,slc25a22
289,methimazole,Sa,thrombocytopenia
290,caffeine,E,afp
291,isocarboxazid,CC,molindone
292,gspt1,GG,birc3
293,kidney neoplasms,ML,ppara
294,cyclobenzaprine,T,neuromuscular manifestations
295,rasagiline,CC,dexmethylphenidate
296,hsd17b2,O,calcitriol
297,genital neoplasms female,ML,efemp1
298,map4k4,P,overweight
299,il10rb,Ra,ppp2ca
300,gpd1,GG,pla2g4a
301,memantine,Pr,systemic inflammatory response syndrome
302,desipramine,C,liver neoplasms
303,liver neoplasms,ML,gstm3
304,cat,Ra,slc7a1
305,smarcb1,E,akt3
306,otorhinolaryngologic neoplasms,ML,spp1
307,vegfa,P,cerebrovascular disorders
308,ritonavir,CC,clarithromycin
309,zolpidem,CC,methotrimeprazine
310,alfentanil,Sa,muscle hypertonia
311,tadalafil,T,erectile dysfunction
312,abl2,Rg,jak2
313,dusp1,E,ccl2
314,cd19,Q,cd70
315,acetylcysteine,T,poisoning
316,cd40,E,il5
317,l carnitine,E,tp53
318,ethacrynic acid,CC,linagliptin
319,citalopram,CC,salbutamol
320,adenoma,X,prom1
321,chek2,GG,prkaa1
322,isyna1,Rg,tat
323,tp53,Rg,ctsd
324,hmox1,GG,tnf
325,oxtr,U,autism spectrum disorder
326,mmp7,Q,mmp7
327,fgfr3,U,exanthema
328,ethanol,CC,diethylpropion
329,simpson golabi behmel syndrome,Iw,ectodermal dysplasia
330,eletriptan,CC,telaprevir
331,ndufa2,GG,ndufb2
332,lgr4,Rg,lgr4
333,retinal dystrophies,ML,vegfa
334,eef1a1,B,diaph2
335,neoplasms squamous cell,ML,csf3
336,impdh1,I,ribavirin
337,iloprost,T,hypertension pulmonary
338,ccl5,E,fn1
339,neoplasms neuroepithelial,ML,tf
340,thbs1,E,col1a1
341,oxycodone,Sa,seizures
342,ntrk3,Q,tek
343,il1b,Q,mefv
344,a2m,Rg,tgfa
345,lep,Te,liver cirrhosis
346,leflunomide,CC,ifosfamide
347,intestinal neoplasms,X,spp1
348,ceftriaxone,T,disseminated intravascular coagulation
349,fluconazole,T,renal insufficiency
350,prkcg,GG,mapk7
351,alk,Ra,kdr
352,cisplatin,E,hsp90aa1
353,casp3,GG,slk
354,pax8,E,nrp2
355,flurbiprofen,Pr,pupil disorders
356,elk1,E,abca12
357,pttg1,Q,fgfr4
358,ptp4a3,E,socs3
359,allopurinol,T,ascites
360,dpyd,E,ugt1a1
361,muc2,P,colitis
362,leflunomide,T,arthritis rheumatoid
363,cycloserine,CC,isoniazid
364,tolcapone,CC,rasagiline
365,csf3,GG,il7
366,atm,E,smad1
367,respiratory tract neoplasms,ML,dusp6
368,warfarin,Sa,hemophilia a
369,gsk3b,E,dcx
370,neomycin,T,constipation
371,braf,P,neoplasms neuroepithelial
372,lamivudine,Sa,leukemia myeloid
373,silver sulfadiazine,Sa,leukopenia
374,trazodone,CC,mifepristone
375,sars2,GG,qars
376,park7,GG,syp
377,csf3,K,methimazole
378,atr,Q,akt1
379,sts,Iw,fibrosis
380,mapk7,GG,map2k5
381,flurbiprofen,T,menorrhagia
382,rhcg,GG,s100a7
383,smad2,E,bcl2
384,gastrointestinal neoplasms,ML,satb2
385,cacna1e,GG,cacnb4
386,vitamin e,T,leukopenia
387,adcy1,I,gnai3
388,sarcoma,ML,smo
389,cyp3a5,Ra,itgb3
390,itgal,Rg,tnf
391,ndufa3,GG,ndufa10
392,tgfb3,E,ppbp
393,akt1,Te,body weight changes
394,rhbdf2,U,colitis
395,ihh,E,sirt1
396,fos,Rg,agrp
397,eda,Ra,cd40lg
398,liver neoplasms,ML,nkx2 1
399,igf2,E,foxo1
400,mycn,Q,ptk2
401,doxepin,CC,tiotropium
402,zbtb20,GG,rps6ka5
403,adenosine,E,cflar
404,amiloride,T,cardiomyopathy dilated
405,ndufa7,GG,ndufaf1
406,jun,Rg,kitlg
407,akt1,Q,pla2g1b
408,tramadol,CC,sumatriptan
409,hsp90ab1,Ra,hprt1
410,loperamide,C,breast neoplasms
411,cdkn2a,Iw,hypopigmentation
412,camkk2,Q,stk11
413,chi3l1,U,kidney neoplasms
414,s1pr2,E,il6
415,hdac1,GG,prkcb
416,zonisamide,T,alzheimer disease
417,erbb2,Rg,nme1
418,tlr3,Ra,il1b
419,pttg1,Rg,tp53
420,smad2,Rg,sox11
421,vegfa,B,tnf
422,lep,P,liver diseases
423,sarcoma,ML,fos
424,hp,P,aneurysm
425,temozolomide,E,anxa5
426,fut4,Ra,nkx2 1
427,bmp4,B,tbx1
428,leukemia,ML,ercc1
429,pms2,U,pancreatic neoplasms
430,nos2,E,csf1
431,dcx,B,vegfa
432,musk,E,rapsn
433,colq,Q,ache
434,pgr,Q,sst
435,igfals,GG,arrb2
436,ccr5,B,afp
437,arteriosclerosis,ML,ppara
438,pak4,E,esr1
439,apoe,Rg,casr
440,lindane,Sa,neurotoxicity syndromes
441,gata3,Ra,krt8
442,tac3,E,cyp11a1
443,temsirolimus,T,head and neck neoplasms
444,macular degeneration,ML,serpinf1
445,bmx,GG,btk
446,slit1,E,gna11
447,lung injury,ML,il18
448,neoplasms,ML,pc
449,blmh,GG,keap1
450,ocln,B,tp53
451,ropinirole,CC,amisulpride
452,amt,Iw,diarrhea
453,cdh1,Q,prom1
454,sildenafil,CC,fusidic acid
455,leukemia myeloid,ML,plaur
456,slc9a3,E,shank2
457,tlr1,Ra,prkdc
458,atomoxetine,CC,modafinil
459,il4,E,casp1
460,nme2,GG,pin1
461,spironolactone,E,pou1f1
462,cd80,Q,fcer2
463,csnk1a1,GG,aak1
464,uchl5,GG,tpi1
465,atxn3,Rg,atxn1
466,neurofibromatosis 1,Iw,pain
467,hnf1b,I,kidney neoplasms
468,diethylcarbamazine,E,ccl11
469,areg,Iw,gc
470,stmn1,GG,tsg101
471,tpt1,U,neoplasm metastasis
472,dapsone,CC,probenecid
473,dextromethorphan,E,pparg
474,btc,Iw,paraproteinemias
475,smad3,E,grb2
476,ldlr,Q,sema4d
477,kdr,Te,thyroid neoplasms
478,bcap31,Rg,bcap31
479,procarbazine,CC,methotrimeprazine
480,vemurafenib,T,carcinoma
481,nelfinavir,CC,fluticasone furoate
482,apc,U,adenoma
483,sf3b1,U,leukemia myeloid
484,ywhae,GG,tbc1d4
485,verapamil,CC,topotecan
486,thiothixene,CC,mirabegron
487,uqcrb,GG,uqcrfs1
488,rad52,Ra,xrcc5
489,nfu1,GG,slc1a2
490,itgb1,GG,lama3
491,ethanol,Sa,sleep disorders intrinsic
492,nefl,GG,ppp1cc
493,cyp17a1,Ra,gstp1
494,lrp5,P,carcinoma bronchogenic
495,pkn1,GG,acvr1b
496,vegfa,E,epha2
497,kdr,GG,slc7a1
498,sox9,E,jun
499,epha3,GG,aak1
500,ndufa8,GG,nubpl
501,acsl3,GG,slc1a5
502,ouabain,B,bdnf
503,madcam1,Ra,akt1
504,cdh2,GG,ctnna2
505,hypertension,ML,adcyap1
506,atp2b1,GG,atp8b1
507,calcitriol,T,psoriasis
508,genital neoplasms female,ML,msh6
509,cyclosporine,CC,simeprevir
510,ngf,P,myotonic dystrophy
511,neoplasms,ML,map3k1
512,gastrointestinal neoplasms,ML,fbln1
513,foxp3,Te,hepatitis viral human
514,nampt,B,tnfsf11
515,fcgr1a,Q,gfap
516,cyp2e1,K,propofol
517,lyn,GG,nfatc1
518,bbs7,GG,bbs4
519,diabetes mellitus,ML,lpl
520,prmt5,Rg,fgfr3
521,lcn2,B,tlr4
522,leukemia myeloid,ML,atp1b1
523,ceftazidime,T,drug toxicity
524,minoxidil,CC,phenelzine
525,erap2,Rg,flot1
526,pefloxacin,I,top2a
527,pik3ca,Ra,lamc2
528,testosterone,E,cat
529,chrm3,U,ichthyosis bullosa of siemens
530,etoposide,E,casp7
531,cma1,GG,prcp
532,guk1,GG,iars
533,piperazine,Sa,dyskinesias
534,cd4,E,il1b
535,f2r,GG,il21r
536,slc6a14,GG,slc1a4
537,dronabinol,CC,darifenacin
538,pgf,P,acute coronary syndrome
539,mmp2,Rg,map2k1
540,ursodeoxycholic acid,N,akr1c2
541,cisplatin,T,hypotrichosis
542,stat1,Q,nr3c1
543,gata4,Ra,fgfr1
544,hla g,Rg,mica
545,progesterone,N,comt
546,inf2,GG,actn4
547,nyx,U,keratoconus
548,ckb,GG,aldoa
549,nfkbia,E,ar
550,colitis,ML,fcgr2a
551,itraconazole,CC,vilazodone
552,ptger2,Rg,egfr
553,osteoarthritis,ML,csf3
554,carcinoma bronchogenic,ML,ror1
555,mme,Q,cd59
556,esr2,Rg,pik3ca
557,csf2,Rg,vim
558,jak3,Ra,il2rg
559,cd59,Q,itgb1
560,trichlormethiazide,CC,clomipramine
561,ltf,Ra,lgals3
562,scn11a,GG,cacna1s
563,inflammatory bowel diseases,ML,spp1
564,prkch,GG,stk16
565,magnesium sulfate,CC,tiludronate
566,cd38,Ra,tlr4
567,celecoxib,E,casp3
568,lymphoma,ML,pdgfra
569,ngf,B,rhoa
570,inflammatory bowel diseases,An,colitis
571,chi3l1,P,arthritis rheumatoid
572,runx2,Rg,col1a1
573,lithium,T,analgesia
574,il9,Q,ezh2
575,dicoumarol,T,neoplasms
576,epha3,Ra,ncam1
577,oxt,P,panhypopituitarism
578,cyp1b1,GG,cyp27b1
579,clonidine,I,abcb1
580,pla2g4a,GG,tbxas1
581,acadm,GG,ass1
582,orciprenaline,CC,methamphetamine
583,kcnma1,U,chorea
584,ptger1,P,body weight changes
585,cfi,GG,krt10
586,angpt1,Te,hypertension pulmonary
587,ccnd1,Ra,edn1
588,cdh15,GG,tcf12
589,overweight,ML,cckar
590,hsp90b1,Te,arthritis rheumatoid
591,ros1,Rg,ercc1
592,sirt5,GG,gpx5
593,bdnf,K,glycine
594,lpl,Rg,apoc2
595,scn2a,U,epilepsy
596,ppp3ca,GG,prkaa1
597,dcps,GG,atic
598,leukemia myeloid,ML,abcb6
599,sertraline,Sa,sensation disorders
600,cdc42,Ra,cdon
601,itga8,P,fibrosis
602,pfn2,GG,actb
603,agrp,Rg,mc4r
604,mmp11,Rg,mmp14
605,il22,Ra,sod1
606,aldh3a2,GG,smyd3
607,nras,Ra,nras
608,amoxicillin,T,preterm premature rupture of the membranes
609,morphine,T,pain
610,cdkn2a,P,intestinal neoplasms
611,tcf7l2,I,cyclosporine
612,npy,Ra,ghsr
613,epinephrine,Pr,hemorrhage
614,kptn,GG,tspan7
615,jund,B,il6
616,clcn3,P,neoplasms neuroepithelial
617,midazolam,T,seizures
618,multiple system atrophy,ML,kl
619,map3k5,Ra,jak2
620,lgals3,Rg,bcl2
621,rps6ka6,E,akt1
622,cardiomyopathy dilated,ML,syne1
623,cefuroxime,T,liver cirrhosis
624,birc2,Rg,tnfrsf10b
625,arthritis rheumatoid,ML,sox9
626,erbb4,Rg,ereg
627,smad7,U,uterine diseases
628,breast neoplasms,ML,gprc5a
629,akr1c1,GG,scp2
630,rab7a,B,chm
631,cxcr4,Rg,cdh1
632,sumatriptan,CC,flupentixol
633,flt3,GG,il23a
634,vegfa,B,trim37
635,naltrexone,CC,levorphanol
636,central nervous system neoplasms,ML,snca
637,leukemia lymphoid,ML,cxcr5
638,ggh,I,liver diseases
639,dpyd,Rg,egf
640,bad,B,pak1
641,fbxo7,GG,birc2
642,ifnb1,GG,il4
643,gna13,GG,gna15
644,fdx1,B,fxn
645,src,P,spinocerebellar degenerations
646,zolmitriptan,CC,loxapine
647,twist1,Rg,epha4
648,cdc25a,Rg,vhl
649,il13,P,arthritis rheumatoid
650,lmnb1,GG,map3k1
651,prpf8,B,ar
652,g6pd,U,anemia hemolytic
653,mtrr,U,gastrointestinal neoplasms
654,piperacillin,T,fibrosis
655,neoplasm metastasis,ML,apoa1
656,leukemia,ML,prmt1
657,cd19,Q,il6st
658,acetaminophen,CC,phenylephrine
659,smad2,U,intestinal neoplasms
660,ercc3,Rg,atm
661,slc34a2,GG,erbb4
662,terbutaline,T,respiratory hypersensitivity
663,gata3,GG,pitx1
664,nampt,P,fever
665,g6pd,Rg,pten
666,serpina3,E,nos3
667,hyperbilirubinemia hereditary,ML,fas
668,thbs1,Ra,il10
669,stk11,Rg,akt1
670,csf2,E,icam1
671,tamoxifen,N,ttr
672,warfarin,CC,dronedarone
673,spp1,Rg,cst3
674,hmox1,Rg,klf4
675,nedd4,GG,tsta3
676,irf3,GG,irf7
677,codeine,CC,quinidine
678,ketoconazole,I,cyp3a7
679,p4hb,GG,pcsk5
680,atp6ap2,GG,slc38a2
681,doxycycline,CC,pivmecillinam
682,rhag,GG,ctdp1
683,mat2a,Rg,mat2a
684,lyz,Te,leukemia myeloid
685,evc,GG,nek1
686,csnk1d,GG,taok3
687,mdm2,Ra,ccne1
688,hars2,I,hearing disorders
689,dgkd,B,dgkd
690,nars,Rg,abcb1
691,jag1,Ra,il3ra
692,tnfsf12,U,arthritis rheumatoid
693,abcc10,Rg,abcb1
694,prg4,Te,genital neoplasms male
695,asxl1,Ra,cdkn2a
696,naloxone,N,akt1
697,gapdh,Q,ggh
698,sphk1,E,ptgs2
699,goserelin,CC,mirtazapine
700,caffeine,E,itgam
701,pioglitazone,E,shbg
702,igll1,GG,rfx5
703,ergonovine,Sa,stroke
704,cxcl12,B,usp14
705,cyp2c8,GG,cyp2e1
706,hgf,Q,ccl5
707,sarcoma,ML,pla2g6
708,tamoxifen,T,diabetes mellitus
709,dexamethasone,N,crh
710,indomethacin,Sa,vomiting
711,map3k1,Rg,egfr
712,b2m,GG,tpt1
713,chrna3,GG,chrne
714,ctnnb1,Te,renal insufficiency
715,mapk1,Ra,cdk5
716,bleomycin,T,xeroderma pigmentosum
717,nnmt,GG,pnmt
718,eprs,GG,psma4
719,notch1,Te,colonic diseases
720,alprazolam,CC,ketoconazole
721,stat1,E,erbb2
722,scn8a,Q,ank3
723,gdnf,Z,nitric oxide
724,respiratory tract neoplasms,ML,dut
725,cdk4,Ra,kit
726,chm,GG,rab5a
727,pneumonia,X,il4
728,aztreonam,Sa,hearing disorders
729,vegfb,GG,nrp1
730,ptp4a3,E,fos
731,epinephrine,Sa,vision disorders
732,neoplasms,ML,stat3
733,fads1,P,hypertension
734,arsenic trioxide,T,gastrointestinal neoplasms
735,psmb1,GG,psmd2
736,sertaconazole,T,tinea
737,oxt,P,schizoaffective disorder
738,testosterone,E,alb
739,cdh1,Ra,msh2
740,niclosamide,N,nfkb1
741,fgf1,E,egr1
742,il1b,P,rheumatic diseases
743,gla,I,myl2
744,parp3,Rg,parp3
745,hmbs,GG,blm
746,cholestasis,ML,sct
747,mme,B,ace2
748,socs3,E,nr1h4
749,pafah1b1,GG,fscn1
750,moclobemide,CC,tiotropium
751,bcl2l2,Rg,cdkn1a
752,sp1,Rg,fasn
753,csad,E,csad
754,il6,P,diabetes mellitus
755,leukemia lymphoid,ML,faslg
756,kir2dl1,Rg,klrk1
757,tnf,P,alzheimer disease
758,rifampicin,CC,temsirolimus
759,glutathione,T,fever
760,gmps,GG,recql4
761,casp1,E,ifng
762,tlr4,P,depression
763,apoe,E,apoa1
764,acenocoumarol,I,cyp1a2
765,pgr,Z,diethylstilbestrol
766,birc5,Rg,tnfrsf10b
767,dexamethasone,T,vomiting
768,rasa1,Rg,cxcl12
769,dnajb6,P,neoplasms
770,amt,Iw,depression
771,prednisolone,CC,phenobarbital
772,neoplasms,ML,arg2
773,tgfb1,Rg,tgfbr2
774,birc3,GG,bmpr1a
775,disc1,GG,utrn
776,leukemia myeloid,ML,casp8
777,rabggtb,GG,ggps1
778,methoxamine,Pr,hyperglycemia
779,ppargc1a,GG,lpar4
780,camp,E,atf1
781,neoplasms neuroepithelial,ML,thbs1
782,dronabinol,CC,gemfibrozil
783,fpr2,Ra,mmp2
784,cimetidine,CC,felodipine
785,idh2,Ra,eed
786,xiap,Rg,cflar
787,mto1,GG,nubpl
788,lrpprc,GG,ndufb4
789,glud2,GG,tmlhe
790,prkch,GG,prkd1
791,il1b,P,endometriosis
792,aldh2,Iw,cad
793,aurkb,Ra,ccnk
794,triamcinolone,T,pain
795,gata1,Ra,vegfa
796,itgal,Q,itgb2
797,gastrointestinal neoplasms,ML,lzts1
798,atorvastatin,N,cetp
799,ceftriaxone,E,bax
800,elk1,GG,il2
801,chuk,GG,mapk10
802,hck,Q,mmp9
803,tpp1,GG,mcoln1
804,cox8a,U,drug toxicity
805,il4,E,muc2
806,rifampicin,N,slco1b1
807,acetazolamide,Sa,melanoma
808,gram positive bacterial infections,ML,pparg
809,mcl1,Rg,fos
810,valproic acid,CC,rifampicin
811,melanoma,ML,gsk3a
812,pik3ca,Ra,rock1
813,apoa1,Ra,agt
814,ccna2,Q,ccna2
815,tgfb1,I,irinotecan
816,ptprb,GG,ptprz1
817,ntrk1,Iw,pc
818,ace,P,skin neoplasms
819,mdm2,Rg,cdkn1a
820,tyms,Ra,nat1
821,clozapine,T,bulimia nervosa
822,sulpiride,CC,trifluoperazine
823,trimetrexate,T,neoplasms
824,ifnb1,Te,arthritis rheumatoid
825,ripk1,Rg,ar
826,ngf,P,infarction
827,ephb6,Rg,ephb6
828,grin2b,GG,ptpn12
829,gastrointestinal neoplasms,X,aqp3
830,sox2,E,yap1
831,breast neoplasms,ML,fzd6
832,mycn,Q,ntrk2
833,csnk2a1,GG,xk
834,tfpi,P,overweight
835,pls3,E,pls3
836,irak3,I,respiratory hypersensitivity
837,sult2a1,Z,phenol
838,pde3b,GG,pik3cg
839,mirtazapine,CC,moclobemide
840,ugt1a7,I,morphine
841,l aspartic acid,I,dars2
842,brain diseases,ML,bscl2
843,nos3,P,intracranial hemorrhages
844,mdm2,B,cdkn2a
845,isoniazid,T,ulcer
846,aplnr,GG,abcd1
847,mdm2,E,fkbp1a
848,pioglitazone,E,lpl
849,candesartan,E,avp
850,metronidazole,T,kidney diseases
851,vcam1,Q,cd40lg
852,hnf1b,P,intestinal neoplasms
853,sildenafil,Sa,brain diseases metabolic inborn
854,mexiletine,CC,fluoxetine
855,mmp16,GG,mmp17
856,csk,E,cyp17a1
857,tnf,Te,purpura thrombocytopenic idiopathic
858,mapk8,E,sp1
859,atp6v0a4,I,kidney diseases
860,csf3,GG,tnf
861,methotrexate,J,leukemia myeloid
862,cd8a,E,il1b
863,ppia,GG,rpl19
864,il1b,P,orthomyxoviridae infections
865,jun,Ra,mapk9
866,ubr4,GG,stat2
867,socs3,E,il7
868,ppara,GG,map2k3
869,flt3,Q,cd200
870,cacna1s,GG,cacnb3
871,spg7,B,afg3l2
872,norethindrone,T,hemorrhage
873,losartan,Pr,hyperglycemia
874,smith mccort dysplasia,X,nr3c1
875,chrng,GG,pik3cg
876,erbb2,P,cardiomegaly
877,ranitidine,Sa,sensation disorders
